customer_id,name,order_id
1,"Aarav Sharma",1
2,"Priya Verma",2
3,"Rohan Gupta",3
4,"Sneha Kapoor",4
5,"Aditya Singh",5
6,"Ananya Patel",6
7,"Karan Mehta",7
8,"Neha Joshi",8
9,"Rahul Yadav",9
10,"Pooja Nair",10
11,"Vikram Rao",11
12,"Isha Malhotra",12
13,"Manish Kumar",13
14,"Kavya Reddy",14
15,"Arjun Das",15
16,"Simran Kaur",16
17,"Nikhil Jain",17
18,"Meera Shah",18
19,"Harsh Agarwal",19
20,"Divya Mishra",20
21,"Sahil Arora",21
22,"Ritika Sinha",22
23,"Yash Bansal",23
24,"Nisha Chawla",24
25,"Abhishek Tiwari",25
26,"Shreya Ghosh",26
27,"Mohit Soni",27
28,"Tanvi Desai",28
29,"Akash Pandey",29
30,"Riya Kulkarni",30
31,"Deepak Sharma",31
32,"Aditi Saxena",32
33,"Varun Malhotra",33
34,"Payal Arora",34
35,"Ritesh Yadav",35
36,"Komal Sharma",36
37,"Aman Verma",37
38,"Muskan Jain",38
39,"Nitin Kapoor",39
40,"Sakshi Gupta",40
41,"Shivam Mishra",41
42,"Anjali Singh",42
43,"Rohit Choudhary",43
44,"Preeti Patel",44
45,"Hemant Joshi",45
46,"Swati Nair",46
47,"Gaurav Bhatia",47
48,"Bhavna Reddy",48
49,"Kunal Srivastava",49
50,"Pallavi Sharma",50
